REF_DATE,GEO,DGUID,Products,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020-11,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.81,,,,2
2020-12,Newfoundland and Labrador,2016A000210,"Pears, per kilogram",Dollars,81,units,0,v1159446999,1.25,5.99,,,,2
2017-01,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.10,,,,2
2017-02,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.14,,,,2
2017-03,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.17,,,,2
2017-04,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.16,,,,2
2017-05,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.17,,,,2
2017-06,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.20,,,,2
2017-07,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.17,,,,2
2017-08,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.09,,,,2
2017-09,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.04,,,,2
2017-10,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.01,,,,2
2017-11,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,0.96,,,,2
2017-12,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.07,,,,2
2018-01,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.01,,,,2
2018-02,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.00,,,,2
2018-03,Newfoundland and Labrador,2016A000210,"Lemons, unit",Dollars,81,units,0,v1159447000,1.26,1.05,,,,2
